Active Cases,Country,Deaths/1M pop,Document Index (generated),New Cases,New Deaths,Number of Records,"Serious,Critical",Tests/1M pop,Tot Cases/1M pop,Total Cases,Total Deaths,Total Recovered,Total Tests
4761,Czechia,8,27,16,3,1,103,9215,470,5033,91,181,98681
4642,Poland,4,28,152,7,1,160,2623,132,5000,136,222,99284
4023,Romania,11,29,344,13,1,162,2454,247,4761,210,528,47207
3542,Japan,0.7,30,,,1,80,437,34,4257,93,622,55311
2567,Malaysia,2,31,156,2,1,76,1799,127,4119,65,1487,58240
3547,Pakistan,0.3,32,37,1,1,25,191,18,4072,58,467,42159
3635,Ecuador,12,33,,,1,156,817,226,3995,220,140,14406
3592,Philippines,2,34,106,5,1,1,224,35,3870,182,96,24500
2426,Luxembourg,70,35,,,1,35,41059,4745,2970,44,500,25702
2494,Indonesia,0.9,36,218,19,1,,52,11,2956,240,222,14354
1546,Peru,3,37,,,1,109,654,90,2954,107,1301,21555
2276,Saudi Arabia,1,38,137,,1,41,,84,2932,41,615,
2011,Mexico,1,39,346,16,1,89,197,22,2785,141,633,25410
2147,Finland,7,40,179,6,1,82,6588,449,2487,40,300,36500
2268,Serbia,7,41,,,1,109,1102,280,2447,61,118,9626
1451,Thailand,0.4,42,111,3,1,61,1030,34,2369,30,888,71860
2161,UAE,1,43,,,1,1,54517,239,2359,12,186,539195
2174,Panama,14,44,149,4,1,91,2386,521,2249,59,16,10297
2026,Qatar,2,45,153,,1,37,14515,767,2210,6,178,41818
1822,Dominican Republic,9,46,,,1,147,419,180,1956,98,36,4542
1482,Greece,8,47,,,1,90,2742,176,1832,81,269,28584
1630,Colombia,1,48,,,1,76,598,35,1780,50,100,30445
1641,South Africa,0.2,49,,,1,7,980,29,1749,13,95,58098
1317,Argentina,1,50,,,1,96,261,38,1715,60,338,11778
1581,Ukraine,1,51,206,7,1,33,165,38,1668,52,35,7205
1211,Singapore,1,52,142,,1,29,11110,277,1623,6,406,65000
1021,Iceland,18,53,,,1,11,84957,4648,1586,6,559,28991
1162,Algeria,4,54,,,1,46,77,33,1468,193,113,3359
1080,Egypt,0.9,55,,,1,,244,14,1450,94,276,25000
1145,Croatia,5,56,61,1,1,36,3197,327,1343,19,179,13125
1054,Morocco,2,57,58,1,1,1,152,34,1242,91,97,5600
927,New Zealand,0.2,58,50,,1,4,9721,251,1210,1,282,46875
1089,Estonia,18,59,36,3,1,11,18705,893,1185,24,72,24813
684,Iraq,2,60,,,1,,655,28,1122,65,373,26331
931,Slovenia,19,61,32,4,1,35,14752,525,1091,40,120,30669
